油站名称,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站,永丰南（东）站
日结时间,进货升数,进货升数,进货升数,进货升数,进货吨数,进货吨数,进货吨数,进货吨数,销售升数,销售升数,销售升数,销售升数,销售升数,销售升数,销售升数,销售升数,销售升数,销售升数,销售升数,销售升数,销售金额,销售金额,销售金额,销售金额,销售金额,销售金额,销售金额,销售金额,销售金额,销售金额,销售金额,销售金额,销售金额,销售金额,销售金额,销售吨数,销售吨数,销售吨数,销售吨数,销售吨数,库存升数,库存升数,库存升数,库存升数,库存吨数,库存吨数,库存吨数,库存吨数
,92号汽油(Ⅴ),95号清洁汽油(Ⅴ),0号车用柴油(Ⅴ),车用尾气处理液,92号汽油(Ⅴ),95号清洁汽油(Ⅴ),0号车用柴油(Ⅴ),车用尾气处理液,92号汽油(Ⅴ),92号汽油(Ⅴ),92号汽油(Ⅴ),95号清洁汽油(Ⅴ),95号清洁汽油(Ⅴ),95号清洁汽油(Ⅴ),0号车用柴油(Ⅴ),0号车用柴油(Ⅴ),0号车用柴油(Ⅴ),车用尾气处理液,车用尾气处理液,车用尾气处理液,92号汽油(Ⅴ),92号汽油(Ⅴ),92号汽油(Ⅴ),95号清洁汽油(Ⅴ),95号清洁汽油(Ⅴ),95号清洁汽油(Ⅴ),0号车用柴油(Ⅴ),0号车用柴油(Ⅴ),0号车用柴油(Ⅴ),车用尾气处理液,车用尾气处理液,车用尾气处理液,合计,合计,合计,92号汽油(Ⅴ),95号清洁汽油(Ⅴ),0号车用柴油(Ⅴ),车用尾气处理液,合计,92号汽油(Ⅴ),95号清洁汽油(Ⅴ),0号车用柴油(Ⅴ),车用尾气处理液,92号汽油(Ⅴ),95号清洁汽油(Ⅴ),0号车用柴油(Ⅴ),车用尾气处理液
,92号汽油(Ⅴ),95号清洁汽油(Ⅴ),0号车用柴油(Ⅴ),车用尾气处理液,92号汽油(Ⅴ),95号清洁汽油(Ⅴ),0号车用柴油(Ⅴ),车用尾气处理液,IC卡,现金,合计,IC卡,现金,合计,IC卡,现金,合计,IC卡,现金,合计,IC卡,现金,合计,IC卡,现金,合计,IC卡,现金,合计,IC卡,现金,合计,IC卡,现金,合计,92号汽油(Ⅴ),95号清洁汽油(Ⅴ),0号车用柴油(Ⅴ),车用尾气处理液,合计,92号汽油(Ⅴ),95号清洁汽油(Ⅴ),0号车用柴油(Ⅴ),车用尾气处理液,92号汽油(Ⅴ),95号清洁汽油(Ⅴ),0号车用柴油(Ⅴ),车用尾气处理液
月初库存,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59493.00,41846.00,59470.00,3750.00,44.620,31.803,49.360,4.088
01,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,1464.98,25175.51,26640.49,2056.56,12533.87,14590.43,1340.31,1470.56,2810.87,21.31,62.92,84.23,10342.29,177717.04,188059.33,15588.45,94997.24,110585.69,9087.16,9969.89,19057.05,53.27,157.30,210.57,35071.17,282841.47,317912.64,19.68985,10.80411,2.34856,0.09173,32.93425,32852.51,27255.57,56659.13,3665.77,24.28113,20.18256,47.34023,3.99205
02,66000.00,24000.00,0.00,0.00,49.356300,17.870400,0.000000,0.000000,2097.49,45314.15,47411.64,1774.60,23203.01,24977.61,451.38,1376.76,1828.14,60.00,85.79,145.79,14807.72,319876.83,334684.55,13450.99,175859.54,189310.53,3060.27,9333.96,12394.23,150.00,214.46,364.46,31468.98,505284.79,536753.77,35.31797,18.54378,1.52746,0.15877,55.54798,51440.87,26277.96,54830.99,3519.98,38.31944,19.50918,45.81277,3.83328
03,21000.00,24000.00,0.00,0.00,15.651300,17.702400,0.000000,0.000000,517.71,11288.34,11806.05,708.33,7522.13,8230.46,710.92,791.48,1502.40,6.02,23.01,29.03,3654.95,79685.29,83340.24,5368.84,57011.36,62380.20,4819.95,5366.00,10185.95,15.05,57.52,72.57,13858.79,142120.17,155978.96,8.79589,6.09150,1.25530,0.03161,16.17430,60634.82,42047.50,53328.59,3490.95,45.17488,31.12007,44.55748,3.80167
04,21000.00,0.00,0.00,0.00,15.613500,0.000000,0.000000,0.000000,426.83,9827.44,10254.27,724.11,5354.24,6078.35,188.56,516.55,705.11,26.61,53.74,80.35,3013.19,69373.01,72386.20,5488.62,40580.54,46069.16,1278.42,3502.00,4780.42,66.52,134.35,200.87,9846.75,113589.90,123436.65,7.63572,4.49869,0.58914,0.08750,12.81105,71380.55,35969.15,52623.48,3410.60,53.15267,26.62138,43.96834,3.71417
05,21600.00,0.00,0.00,0.00,16.059600,0.000000,0.000000,0.000000,588.93,11612.55,12201.48,369.98,6927.30,7297.28,460.14,579.67,1039.81,20.85,63.88,84.73,4157.69,81973.93,86131.62,2804.34,52502.46,55306.80,3119.72,3930.00,7049.72,52.12,159.70,211.82,10133.87,138566.09,148699.96,9.08246,5.40084,0.86879,0.09227,15.44436,80779.07,28671.87,51583.67,3325.87,60.12984,21.22054,43.09955,3.62190
06,0.00,21000.00,0.00,0.00,0.000000,15.372000,0.000000,0.000000,904.78,13598.72,14503.50,523.35,7596.43,8119.78,1356.22,707.73,2063.95,0.00,31.60,31.60,6387.35,95994.71,102382.06,3966.85,57574.13,61540.98,9195.06,4798.08,13993.14,0.00,79.00,79.00,19549.26,158445.92,177995.18,10.79603,5.98172,1.72449,0.03441,18.53665,66275.57,41552.09,49519.72,3294.27,49.33381,30.61080,41.37506,3.58749
