2025-05-12至2025-05-12高速石化零售销量报告(吨),2025-05-12至2025-05-12高速石化零售销量报告(吨),2025-05-12至2025-05-12高速石化零售销量报告(吨),2025-05-12至2025-05-12高速石化零售销量报告(吨),2025-05-12至2025-05-12高速石化零售销量报告(吨),2025-05-12至2025-05-12高速石化零售销量报告(吨),2025-05-12至2025-05-12高速石化零售销量报告(吨),2025-05-12至2025-05-12高速石化零售销量报告(吨),2025-05-12至2025-05-12高速石化零售销量报告(吨),2025-05-12至2025-05-12高速石化零售销量报告(吨),,
站名,92#汽油(Ⅴ）,95#汽油（Ⅴ）,98#汽油（Ⅴ）,爱跑98#汽油,0#车柴（Ⅴ）,0#自助（Ⅴ）,汽油小计,合计(吨),销售额（元）,IC(元),合计(元)
,,,,,,,,,现金,IC卡,合计
高安东（北）站,4.39801,3.40325,0,0,1.58732,0,7.80126,9.38858,78238.2,13208.17,91446.37
高安东（南）站,5.21909,3.67889,0,0,1.77191,0,8.89798,10.66989,87653.75,14808.32,102462.07
何市（东）站,2.39315,1.54124,0,0,0.9737,0,3.93439,4.90809,39909.25,7234.55,47143.8
何市（西）站,2.94614,1.771,0,0,1.16567,0,4.71714,5.88281,51458.76,4910.08,56368.84
上高（东）站,1.70546,1.72706,0,0,0.83484,0,3.43252,4.26736,35113.9,5907.51,41021.41
上高（西）站,2.01138,1.15213,0,0,0.99529,0,3.16351,4.1588,35103.81,3943.56,39047.37
上高东（北）站,3.87162,2.73261,0,0,0.53098,0,6.60423,7.13521,61126.83,8132.29,69259.12
上高东（南）站,3.23791,2.30884,0,0,1.13675,0,5.54675,6.6835,56231.45,7756.59,63988.04
上高西（北）站,2.84915,2.01596,0,0,0.97854,0,4.86511,5.84365,48619.65,7782.62,56402.27
上高西（南）站,3.57749,2.62509,0,0,1.36117,0,6.20258,7.56375,64022.72,9031.38,73054.1
修水（东）站,3.17124,2.72818,0,0,4.5871,8.99705,5.89942,19.48357,82763.88,81002.97,163766.85
修水（西）站,3.39549,2.80055,0,0,9.18516,6.24693,6.19604,21.62813,66943.16,117024.34,183967.5
修水西（北）站,1.43886,1.17352,0,0,0.76014,0,2.61238,3.37252,25201.07,6955.37,32156.44
修水西（南）站,2.136,0.97663,0,0,0.95758,0,3.11263,4.07021,34451.74,4095.11,38546.85
宜丰（东）站,1.63225,1.32626,0,0,0.9044,0,2.95851,3.86291,29941.61,6548.47,36490.08
宜丰（西）站,2.02344,1.30308,0,0,0.75729,0,3.32652,4.08381,34190.61,4673.12,38863.73
赣西北片区合计,46.00668,33.26429,0,0,28.48784,15.24398,79.27097,123.00279,830970.39,303014.45,1133984.84
丰城东（东）站,1.71976,1.39926,0,0,0.74327,0,3.11902,3.86229,29966.61,6913.15,36879.76
丰城东（西）站,3.77352,2.75924,0,0,0.88641,0,6.53276,7.41917,63793.27,8239.15,72032.42
丰城南（北）站,4.2972,1.44742,0,0,0.84927,0,5.74462,6.59389,60002.34,3548.86,63551.2
丰城南（南）站,4.93057,2.52212,0,0,2.03613,0,7.45269,9.48882,79465.93,10990.4,90456.33
进贤（东）站,5.01111,4.95186,0,0,2.41844,0,9.96297,12.38141,100142.91,19340.75,119483.66
进贤（西）站,6.81133,5.07267,0,0,2.8819,0,11.884,14.7659,119337.17,22742.94,142080.11
军山湖（北）站,8.78293,6.66214,0,0,2.03504,0,15.44507,17.48011,148375.47,22311.24,170686.71
军山湖（南）站,9.66121,7.77217,0,0,2.55871,0,17.43338,19.99209,171332.83,22814.36,194147.19
庐山西海（北）站,2.73648,1.95563,0,0,0.45219,0,4.69211,5.1443,46461.16,3977.85,50439.01
庐山西海（南）站,2.11115,2.21405,0,0,0.50122,0,4.3252,4.82642,43172.03,4287.8,47459.83
南昌北（北）站,3.95404,2.0244,0,0,12.41091,0,5.97844,18.38935,84372.68,68849.79,153222.47
南昌北（南）站,4.18942,2.0256,0,0,13.79343,0,6.21502,20.00845,83771.79,80317.26,164089.05
鄱阳湖（北）站,6.59729,4.48076,0,0,1.66523,0,11.07805,12.74328,112356.65,11568.88,123925.53
鄱阳湖（南）站,4.81,2.66713,0,0,1.37703,0,7.47713,8.85416,74321.17,12030.57,86351.74
赣中片区合计,69.38601,47.95445,0,0,44.60918,0,117.34046,161.94964,1216872.01,297933,1514805.01
六市（东）站,1.89342,1.18376,0,0,1.56467,0,3.07718,4.64185,34669.73,8452.99,43122.72
